,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Australia, New Zealand, and South Africa","Australia, New Zealand, and South Africa",428,686,836,999,2152,3324,5634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latin America and Other Western Hemisphere,Latin America and Other Western Hemisphere,9678,11739,14229,15035,16201,16826,16763,10103,11243,16218,20168,14546,19481,21908,24526,27873,28002,33602,28056,40771,53691,64842,74867,84134,76268,57175,66583,58869,56538,32961,62130,78310,83525,100482,117051,123846,120051,125522,148772,196473,222730
South and Central America,  South and Central America,1260,1426,2806,2747,2859,3491,4190,3935,4331,5819,6140,6818,7725,6518,7021,8067,8823,9632,8972,8340,13384,15498,18860,22910,25001,22507,24171,16685,13581,14583,17943,24783,23754,25036,25083,25261,26235,26786,30919,42376,45883
Brazil,    Brazil,NA,NA,NA,NA,NA,NA,NA,293,286,428,377,534,449,653,625,750,697,706,625,735,882,596,923,548,1195,2051,1054,2091,16,-1430,1357,5077,3562,1891,1444,142,1020,487,3350,5912,6857
Mexico,    Mexico,NA,NA,NA,NA,NA,NA,NA,180,218,350,575,747,1406,1244,2069,1850,1641,3100,2055,1999,7462,6645,7829,9022,7592,3595,5310,8478,8420,11111,10970,12500,12751,15869,15198,15262,17426,18636,18481,18450,20850
Panama,    Panama,811,913,2168,2073,1924,2204,2202,2627,2878,3392,4188,4500,5069,4652,4253,4939,6014,5599,6227,5275,3819,4385,5841,8874,10408,10983,11924,1066,916,1101,952,1135,1218,1527,2350,2592,2749,2260,2615,2807,2871
Venezuela,    Venezuela,NA,NA,NA,NA,NA,NA,NA,411,540,1163,496,512,394,-445,-312,-152,-4,-332,-483,-65,792,3814,4304,4349,5009,5292,5380,4051,2402,2612,3122,3898,4393,3881,3926,4186,1563,1652,1697,1677,1386
Other,    Other,449,513,638,674,935,1287,1988,425,409,486,504,525,407,413,387,679,475,559,548,396,429,58,-37,118,796,586,504,999,1827,1191,1543,2173,1830,1868,2166,3080,3476,3751,4776,13530,13918
Other Western Hemisphere,  Other Western Hemisphere,8418,10313,11422,12289,13343,13335,12573,6168,6911,10399,14028,7728,11756,15389,17504,19806,19180,23969,19084,32431,40307,49344,56007,61224,51268,34668,42412,42185,42957,18377,44187,53527,59772,75446,91967,98585,93817,98736,117853,154097,176847
Bahamas,    Bahamas,NA,NA,NA,NA,NA,NA,NA,179,NA,-52,1535,-881,613,1276,1023,1286,1883,1702,1619,1581,1254,1203,1299,1227,1122,650,513,760,236,694,1753,443,635,643,813,794,262,687,984,1540,1944
Bermuda,    Bermuda,727,1062,1337,1168,1370,1691,2002,1087,1067,1012,1550,1871,1006,717,1745,2626,1471,3987,3735,14798,18336,7316,11215,9854,6626,2147,9223,4713,13703,-7646,365,-8818,-13030,-8486,993,-7323,6982,-3959,16682,44407,50652
Curacao,    Curacao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2604,4470,4344,1982,1630,1486,1290,1328,1059,1161
Netherlands Antilles,    Netherlands Antilles,6651,8232,9190,9948,10935,10443,9685,8062,8935,8733,12974,7750,9291,8356,8951,8044,7993,6113,3461,3153,3807,4384,4034,3597,3532,5531,4675,6253,6351,6513,2819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom Islands, Caribbean[2]","    United Kingdom Islands, Caribbean[2]",746,766,717,985,866,1028,560,-3335,-3867,-215,-2979,-1468,-426,4078,5273,7207,7595,11556,9885,11573,15191,25620,24255,26202,21702,23063,28367,34353,27799,21227,38477,57345,66000,78228,87344,101725,79690,91098,90769,97199,111809
Other,    Other,295,253,178,188,172,172,326,175,NA,922,948,456,1271,963,512,644,237,611,384,1327,1719,10822,15204,20344,18284,3277,-367,-3894,-5132,-2410,772,1952,1697,717,834,1759,5398,9619,8089,9891,11280
Africa,Africa,NA,NA,NA,NA,NA,NA,NA,521,441,505,505,937,1209,1264,1230,1113,994,1463,853,1361,2700,2346,2228,2196,1859,2341,1976,1034,1817,1225,2265,3295,3761,1635,1691,4310,4166,4837,5049,9008,9328
South Africa,  South Africa,NA,NA,NA,NA,NA,NA,NA,NA,37,26,10,-17,-9,5,-4,-3,-30,-28,120,236,704,576,482,382,372,493,643,239,676,594,699,941,755,105,329,2936,2985,3096,3121,2966,3474
Other,  Other,NA,NA,NA,NA,NA,NA,NA,NA,404,480,496,954,1218,1258,1235,1115,1024,1491,734,1125,1996,1770,1745,1814,1487,1848,1332,796,1142,631,1566,2354,3005,1530,1362,1374,1181,1742,1927,6042,5854
Middle East,Middle East,916,3588,4401,4446,5336,4954,4870,4973,6570,7588,4425,4864,6057,6575,6608,5801,5812,6773,4126,4362,6506,6082,6758,7177,7899,8306,10112,15028,16233,18177,16808,19463,18374,17944,16467,17582,24169,31750,37827,41560,42497
Israel,  Israel,324,312,428,449,525,494,567,632,587,630,640,1391,1365,1886,1965,1883,1604,2180,2337,2485,3012,2882,3101,3316,3921,4231,NA,6312,6752,8122,8714,9290,7361,7041,6175,6865,12271,10457,12248,13539,15227
Kuwait,  Kuwait,NA,NA,NA,NA,NA,NA,NA,3898,3954,4280,1805,1663,2768,2820,2821,2525,2640,2964,NA,850,908,964,NA,NA,NA,568,893,855,371,358,347,892,742,1011,1072,1113,1112,1325,1464,1448,1422
Lebanon,  Lebanon,NA,NA,NA,NA,NA,NA,NA,0,-7,-9,-16,-23,-2,-4,-7,-9,-11,1,-1,-1,1,1,0,0,0,-6,-7,NA,NA,NA,NA,NA,-60,-28,-19,-14,23,15,9,4,1
Saudi Arabia,  Saudi Arabia,NA,NA,NA,NA,NA,NA,NA,257,1826,2455,1811,1624,NA,NA,NA,1211,1398,1476,NA,945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6149,7738,7273,6262
United Arab Emirates,  United Arab Emirates,NA,NA,NA,NA,NA,NA,NA,43,111,112,99,74,104,116,97,98,87,74,42,13,64,45,42,46,23,NA,NA,1039,2136,2253,747,1451,2782,2245,2618,2752,2796,11341,14795,17422,17265
Other,  Other,592,3276,3974,3997,4811,4460,4303,142,100,119,86,135,NA,NA,NA,93,95,79,-101,71,NA,NA,178,157,142,265,221,1269,1630,NA,NA,NA,NA,NA,NA,NA,NA,2462,1573,1875,2320
Asia and Pacific,Asia and Pacific,NA,NA,NA,NA,NA,NA,NA,42108,60992,75053,92948,105873,108965,112289,113048,122774,137533,146109,154111,178749,192647,179228,192457,204708,230231,246585,269772,294976,325431,323404,346605,395241,428016,483304,532491,579708,620189,721264,748061,884763,914893
Australia,  Australia,NA,NA,NA,NA,NA,NA,NA,5369,7171,4962,6542,6011,6957,7089,8838,10356,14968,11721,10520,15616,18775,19465,34197,37059,40107,36392,38777,35595,37399,36760,35632,59362,51138,49127,56404,65259,66587,76506,74146,89066,97963
China,  China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,284,435,574,785,584,1105,1624,3300,3598,7076,7855,10071,14714,31871,36447,35437,39643,37995
Hong Kong,  Hong Kong,NA,NA,NA,NA,NA,NA,NA,941,895,1124,1511,1162,1377,1518,1505,1511,1711,1656,1458,885,1493,1292,2005,1984,2744,3467,2992,3809,4217,4236,4440,7605,9750,7404,9776,10981,11494,14989,15115,15211,16547
India,  India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,352,629,1497,1438,1671,2820,2555,4102,5323,5959,7661,8927,9639,4749,5483,4518,4169,1874
Japan,  Japan,NA,NA,NA,NA,NA,NA,NA,34421,51126,67268,83091,95142,97769,100721,98513,104997,116144,125041,134340,153815,159690,149859,147372,157176,174490,189851,204020,222695,234748,238140,255012,274283,301183,350395,371874,401835,427229,487997,514234,634160,647718
Malaysia,  Malaysia,NA,NA,NA,NA,NA,NA,NA,7,42,29,56,57,86,292,464,400,481,342,190,71,310,340,336,292,327,420,488,464,450,439,338,911,1012,986,1154,1278,1121,1345,1021,778,863
New Zealand,  New Zealand,NA,NA,NA,NA,NA,NA,NA,263,154,166,157,92,101,123,179,149,170,191,289,425,395,426,538,642,824,690,559,908,880,767,584,1014,1052,1046,1048,439,204,2246,3211,3651,3408
Philippines,  Philippines,NA,NA,NA,NA,NA,NA,NA,73,73,82,77,63,58,50,76,75,78,99,110,101,47,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Singapore,  Singapore,NA,NA,NA,NA,NA,NA,NA,391,510,934,1289,947,771,450,1375,1637,1246,2635,1828,1365,5087,1221,1530,2166,1733,3338,6458,12151,25801,20757,21517,16819,18701,17082,20665,21585,21661,24503,24598,26248,27257
South Korea,  South Korea,NA,NA,NA,NA,NA,NA,NA,198,505,-307,-1009,800,106,-71,-73,692,-103,644,1355,2691,3110,3011,2932,1409,5270,6077,9459,11939,12859,12969,15746,19860,25260,31790,39966,39784,42426,55568,57998,55747,63668
Taiwan,  Taiwan,NA,NA,NA,NA,NA,NA,NA,199,329,476,836,1098,1267,1618,1574,2142,2133,2858,3194,3021,3174,2520,2571,2888,3209,3731,4064,4465,4462,3885,4642,5004,5039,6135,6107,6889,7514,11606,13840,12104,13746
Other,  Other,NA,NA,NA,NA,NA,NA,NA,246,186,318,398,502,473,499,597,815,705,922,828,761,566,1067,364,457,464,548,733,694,689,1271,1293,1461,1847,3825,6498,7305,5334,4574,3940,3986,3855
"Other Africa, Asia, and Pacific","Other Africa, Asia, and Pacific",450,511,634,875,1353,1654,1823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Addenda:,Addenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union[3],  European Union[3],NA,NA,NA,NA,NA,NA,NA,161061,188342,212361,220874,228959,219307,251473,255379,302193,337463,386802,465567,582006,814033,841929,810307,852394,943074,999276,1165558,1247711,1289929,1340384,1457842,1507149,1609015,1649774,1725714,2018276,2134301,2329177,2442581,2492296,2106289
OPEC[4],  OPEC[4],642,3336,4045,4039,4892,4607,4787,4658,6487,8067,4216,3974,5021,4182,4329,3854,4335,4473,1727,1896,4330,7074,7902,8212,8365,9286,10299,12774,12215,12665,11282,14171,15796,15249,14596,15438,14456,23279,27898,NA,NA
Legend / Footnotes:,Legend / Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<strong>NA</strong> Not shown. Data may not be shown for several reasons:,<strong>NA</strong>  Not shown.  Data may not be shown for several reasons:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
• The data appear on another line in this table.,• The data appear on another line in this table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
• The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment.,• The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"• The data are not available, do not apply, or are not defined.","• The data are not available, do not apply, or are not defined.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<strong>0</strong> A nonzero value that rounds to zero.,<strong>0</strong> A nonzero value that rounds to zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<strong>NA</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies.,<strong>NA</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are classified by country of the <em>foreign parent</em> of the U.S. affiliate. The foreign parent is the first person outside the United States in a U.S. affiliate's ownership chain that has a direct investment in the affiliate. In addition to equity and debt investment from its foreign parent, a U.S. affiliate may receive loans from 0 foreign affiliates of the foreign parent 0. The affiliate may also have interest and services transactions with foreign affiliates of the foreign parent. The value of these loans and the interest and services transactions are included in these data and are classified by country of the FAFP.","Data are classified by country of the <em>foreign parent</em> of the U.S. affiliate.  The foreign parent is the first person outside the United States in a U.S. affiliate's ownership chain that has a direct investment in the affiliate.  In addition to equity and debt investment from its foreign parent, a U.S. affiliate may receive loans from 0 foreign affiliates of the foreign parent 0.  The affiliate may also have interest and services transactions with foreign affiliates of the foreign parent.  The value of these loans and the interest and services transactions are included in these data and are classified by country of the FAFP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The composition of the ""Other"" categories shown in this table may change from one year to another. For a geographic area, ""Other"" is a residual that shows a total for all countries not shown separately under that area. Because the countries shown separately may change over time as the composition of direct investment changes, data for a particular country may be included in an ""Other"" total in one year but excluded from it in another year. Changes in the countries shown separately generally take place in years covered by benchmark surveys 0 of direct investment, which usually are conducted once every five years.","The composition of the ""Other"" categories shown in this table may change from one year to another.  For a geographic area, ""Other"" is a residual that shows a total for all countries not shown separately under that area.  Because the countries shown separately may change over time as the composition of direct investment changes, data for a particular country may be included in an ""Other"" total in one year but excluded from it in another year.  Changes in the countries shown separately generally take place in years covered by benchmark surveys 0 of direct investment, which usually are conducted once every five years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Bureau of Economic Analysis,Source: U.S. Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. In 2020, the euro area included Austria, Belgium, Cyprus, Estonia, Finland, France, Germany, Greece, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, the Netherlands, Portugal, Slovakia, Slovenia, and Spain. For 2020, the euro area direct investment position in the United States was $1,966,926 million; financial transactions without current-cost adjustment were $65,404 million; and income without current-cost adjustment was $67,260 million.","1. In 2020, the euro area included Austria, Belgium, Cyprus, Estonia, Finland, France, Germany, Greece, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, the Netherlands, Portugal, Slovakia, Slovenia, and Spain. For 2020, the euro area direct investment position in the United States was $1,966,926 million; financial transactions without current-cost adjustment were $65,404 million; and income without current-cost adjustment was $67,260 million.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. The ""United Kingdom Islands, Caribbean"" is comprised of British Virgin Islands, Cayman Islands, Montserrat, and Turks and Caicos Islands.","2. The ""United Kingdom Islands, Caribbean"" is comprised of British Virgin Islands, Cayman Islands, Montserrat, and Turks and Caicos Islands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. Data for the European Union 0 reflect the EU membership during the reference period. In 1994, the EU was comprised of Belgium, Denmark, France, Germany, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, and the United Kingdom. Beginning with 1995, Austria, Finland, and Sweden were included. Beginning with second quarter 2004, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Slovakia, and Slovenia were included. Bulgaria and Romania were included beginning with first quarter 2007 and Croatia was included beginning with third quarter 2013. The United Kingdom was excluded beginning with first quarter 2020.","3. Data for the European Union 0 reflect the EU membership during the reference period. In 1994, the EU was comprised of Belgium, Denmark, France, Germany, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, and the United Kingdom. Beginning with 1995, Austria, Finland, and Sweden were included. Beginning with second quarter 2004, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Slovakia, and Slovenia were included. Bulgaria and Romania were included beginning with first quarter 2007 and Croatia was included beginning with third quarter 2013. The United Kingdom was excluded beginning with first quarter 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. OPEC 0: data for this group reflects the OPEC membership during the reference period. This aggregate was discontinued after the 2018 reference year.,4. OPEC 0: data for this group reflects the OPEC membership during the reference period. This aggregate was discontinued after the 2018 reference year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>","If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
